idx,left_context,link_title,link_text,right_context,url,mention_in_page
16800,есеист Еманюел Жозеф Сийе 1748,1836,,в непубликуван ръкописDes Manuscrits de,,Социология
16801,Сийе 1748 1836 в непубликуван,ръкопис,,es Manuscrits de Sieyès 1773,,Социология
16802,Аврам Ноам Чомски е,американски,,лингвист философ Chomsky Noam The,,Ноам Чомски
16803,Аврам Ноам Чомски е американски,лингвист,,философ Chomsky Noam The Cambridge,,Ноам Чомски
16804,Ноам Чомски е американски лингвист,философ,,Chomsky Noam The Cambridge Dictionary,,Ноам Чомски
16805,linguist philosopher and political activist,когнитивен изследовател,,и политически активист Той е,,Ноам Чомски
16806,political activist когнитивен изследовател и,политически активист,,Той е институтен професорНай високата,,Ноам Чомски
16807,давана в МИТ и професор,емеритус,,по лингвистика в Масачузетския технологичен,,Ноам Чомски
16808,МИТ и професор емеритус по,лингвистика,,в Масачузетския технологичен институт Масачузетски,,Ноам Чомски
16809,професор емеритус по лингвистика в,Масачузетски технологичен институт,Масачузетския технологичен институт,Масачузетски технологичен институт Чомски е,,Ноам Чомски
16810,той е основна фигура в,аналитична философия,аналитичната философия,След 60 те години на,,Ноам Чомски
16811,След 60 те години на,20 век,,той става по известен като,,Ноам Чомски
16812,става по известен като политически,дисидент,,и анархист Noam Chomsky Chomsky,,Ноам Чомски
16813,известен като политически дисидент и,анархизъм,анархист,Noam Chomsky Chomsky on Anarchism,,Ноам Чомски
16814,5 и се описва като,либертарен социализъм,либертарен социалист,Чомски е автор на над,,Ноам Чомски
16815,макар че обичайно отсъства от,мейнстрийм медия,мейнстрийм медиите,През 1950 те години започва,,Ноам Чомски
16816,да развива своята теория за,генеративна граматика,генеративната граматика,която преминава през много преработвания,,Ноам Чомски
16817,полага основите на концепцията за,трансформативна граматика,,Той също така създава Йерархия,,Ноам Чомски
16818,граматика Той също така създава,Йерархия на Чомски,,една класификация на формалните езици,,Ноам Чомски
16819,на Чомски една класификация на,формален език,формалните езици,по отношение на тяхната генеративна,,Ноам Чомски
16820,рецензия върху теоретичната книга на,Бъръс Фредерик Скинър,Б.Ф. Скинър,Вербално поведение Verbal Behavior В,,Ноам Чомски
16821,книга на Б Ф Скинър,Вербално поведение (книга),Вербално поведение,Verbal Behavior В тази своя,,Ноам Чомски
16822,промяна от 1 или 1,секунда,,в гражданското време с цел,,Високосна секунда
16823,или 1 секунда в гражданското,време,,с цел да го доближи,,Високосна секунда
16824,да го доближи до средното,слънчево време,,Гражданското време се основава на,,Високосна секунда
16825,основава на координираното универсално време,UTC,,което се поддържа от изключително,,Високосна секунда
16826,се поддържа от изключително точни,атомен часовник,атомни часовници,Земята обаче не се върти,,Високосна секунда
16827,неравномерно постепенно нараства главно заради,приливни сили,приливните сили,на Луната За да се,,Високосна секунда
16828,главно заради приливните сили на,Луна,,а За да се придържа,,Високосна секунда
16829,когато разликата между UTC и,универсално време,универсалното време,по точно UT1 се очаква,,Високосна секунда
16830,с второ За разлика от,високосен ден,високосните дни,те настъпват едновременно в целия,,Високосна секунда
16831,през следващия период От януари,1970,,г до юни 2015 г,,Високосна секунда
16832,януари 1970 г до юни,2015,,г IERS дава указания за,,Високосна секунда
16833,за 26 високосни секунди Забележка,Високосна година,високосните години,са нещо съвсем различно Външни,,Високосна секунда
16834,Копрѝвец е село в,Северна България,,община Бяла област Русе Намира,,Копривец
16835,е село в Северна България,Бяла (община в област Русе),община Бяла,област Русе Намира се на,,Копривец
16836,в Северна България община Бяла,област Русе,,Намира се на 16 км,,Копривец
16837,на 16 км от град,Бяла (област Русе),Бяла,и на 34 км от,,Копривец
16838,на 34 км от град,Попово,,на пътя София Варна География,,Копривец
16839,от град Попово на пътя,София,,Варна География Копривец се намира,,Копривец
16840,град Попово на пътя София,Варна,,География Копривец се намира в,,Копривец
16841,Добруджанската хълмисто платовидна подобласт на,Дунавска равнина,Дунавската равнина,Селото е разположено в подножието,,Копривец
16842,на 16 км от град,Бяла (Област Русе),Бяла,и на 34 км от,,Копривец
16843,на 34 км от град,Попово,,на пътя София Варна Надморската,,Копривец
16844,от град Попово на пътя,София,,Варна Надморската височина на Копривец,,Копривец
16845,град Попово на пътя София,Варна,,Надморската височина на Копривец e,,Копривец
16846,местността Южека където е разкрита,селищна могила,,Тя се датира от късния,,Копривец
16847,Тя се датира от късния,неолит,,5300 4100 г пр н,,Копривец
16848,20 21 и от ранната,бронзова епоха,,Край местността Новите гробища също,,Копривец
16849,неолит Край селото е намирана,траки,,ска керамика както и тракийско,,Копривец
16850,кале се намират останки от,Византия,ранновизантийска,крепост изградена по времето на,,Копривец
16851,изградена по времето на император,Юстиниан I,,Милчев Атанас и Георги Драганов,,Копривец
16852,обитаван и по време на,Първо българско царство,Първото,и Второто българско царство Културни,,Копривец
16853,по време на Първото и,Второ българско царство,Второто българско царство,Културни и природни забележителности Най,,Копривец
16854,,Файл:Biological classification L Pengo bg 2.svg,дясно|464x464пкс,Класификация на организмите или систематика,,Таксономия (биология)
16855,или систематика е област в,биология,,а която описва естествените връзки,,Таксономия (биология)
16856,различните видове организми и ги,класификация,класифицира,по единен начин Така се,,Таксономия (биология)
16857,биолозите използват една йерархия от,таксон,,за да категоризират всички видове,,Таксономия (биология)
16858,за да категоризират всички видове,организъм,организми,Модерният подход се основава на,,Таксономия (биология)
16859,на работата на шведския учен,Карл Линей,,през XVIII век макар и,,Таксономия (биология)
16860,шведския учен Карл Линей през,XVIII век,,макар и методите за определяне,,Таксономия (биология)
16861,изменят следвайки научния прогрес вижте,филогения,,молекулярна систематика Съвременните правила при,,Таксономия (биология)
16862,следвайки научния прогрес вижте филогения,молекулярна систематика,,Съвременните правила при назоваване на,,Таксономия (биология)
16863,организмите се определят съответно от,Международен кодекс на зоологическата номенклатура,,и Международен кодекс на ботаническата,,Таксономия (биология)
16864,кодекс на зоологическата номенклатура и,Международен кодекс на ботаническата номенклатура,,Всеки организъм се смята за,,Таксономия (биология)
16865,скоби са посочени латинските наименования,империя (биология),империя,domain царство regnum тип отдел,,Таксономия (биология)
16866,посочени латинските наименования империя domain,царство (биология),царство,regnum тип отдел phylum divisio,,Таксономия (биология)
16867,наименования империя domain царство regnum,тип (биология),тип,отдел phylum divisio клас classis,,Таксономия (биология)
16868,regnum тип отдел phylum divisio,клас (биология),клас,classis разред ordo семейство familia,,Таксономия (биология)
16869,отдел phylum divisio клас classis,разред,,ordo семейство familia род genus,,Таксономия (биология)
16870,divisio клас classis разред ordo,семейство (биология),семейство,familia род genus вид species,,Таксономия (биология)
16871,classis разред ordo семейство familia,род (биология),род,genus вид species Основният ранг,,Таксономия (биология)
16872,ordo семейство familia род genus,вид (биология),вид,species Основният ранг в йерархията,,Таксономия (биология)
16873,да се използва само в,зоология,,а а отдел за всичко,,Таксономия (биология)
16874,насам За рода Chelonia вижте,Зелена морска костенурка,,Костенурките Testudines са едни от,,Костенурки
16875,са едни от най старите,животни,,на планетата съществуващи още от,,Костенурки
16876,съществуващи още от ерата на,динозаври,,е преди 200 милиона години,,Костенурки
16877,Антарктика Има изцяло сухоземни видове,сухоземни костенурки,,обитаващи дори пустинни области както,,Костенурки
16878,представители срещащи се в солени,морски костенурки,,или сладки води сладководни костенурки,,Костенурки
16879,морски костенурки или сладки води,сладководни костенурки,,Размерите варират от 11 5,,Костенурки
16880,черта е наличието на черупка,панцир,панцер,състоящ се от две части,,Костенурки
16881,се от две части горна,карапакс,,и долна пластрон съединени странично,,Костенурки
16882,части горна карапакс и долна,пластрон,,съединени странично чрез мост Типичният,,Костенурки
16883,и рогови щитчета Костенурките са,пойкилотермен,пойкилотермни,животни т е притежават непостоянна,,Костенурки
16884,Само един вид кожестата костенурка,Dermochelys coriacea,,е способна да поддържа по,,Костенурки
16885,необходимата топлина за активизирането на,метаболизъм,метаболитните,си процеси всички останали видове,,Костенурки
16886,условия на захлаждане изпадат в,хибернация,,т е минимализиране на всички,,Костенурки
16887,активност Всички представители дишат чрез,бял дроб,,сравнително добре развит Наличието на,,Костенурки
16888,тази причина костенурките притежават специални,мускул,,които активно напомпват въздух в,,Костенурки
16889,поемат въздух Размножават се чрез,яйце (зоология),яйца,които женската снася в предварително,,Костенурки
16890,при всички влечуги е от,амнион,амниотичен,тип Названието се дължи на,,Костенурки
16891,формира пространство запълнено с течност,амниотична течност,,Това е еволюционен напредък спрямо,,Костенурки
16892,течност амниотична течност Това е,еволюция,еволюционен,напредък спрямо яйцата на земноводни,,Костенурки
16893,като му осигурява водна среда,Зародиш,,т има още предпазни обвивки,,Костенурки
16894,монохидроксикарбоксилни киселини Според номенклатурата на,IUPAC,,тя е 2 хидроксибензоена История,,Салицилова киселина
16895,пръв път от кората на,бяла върба,,Salix alba откъдето произлиза тривиалното,,Салицилова киселина
16896,ацетилсалициловата киселина известна още като,аспирин,,и фенилсалицилата лекарството салол Бележки,,Салицилова киселина
16897,лекарството салол Бележки Вижте също,бензоена киселина,,химия Категория Антисептици Категория Салицилови,,Салицилова киселина
16898,Бележки Вижте също бензоена киселина,химия,,Категория Антисептици Категория Салицилови киселини,,Салицилова киселина
16899,Вижте също бензоена киселина химия,Категория:Антисептици,,Категория Салицилови киселини Категория Монохидроксибензоени,,Салицилова киселина
16900,бензоена киселина химия Категория Антисептици,Категория:Салицилови киселини,,Категория Монохидроксибензоени киселини Категория Едноосновни,,Салицилова киселина
16901,Бензоената киселина е ароматна карбоксилна,киселина,,Солите ѝ се наричат бензоати,,Бензоена киселина
16902,алкановите киселини с изключение на,мравчена киселина,мравчената,Причината за това е влиянието,,Бензоена киселина
16903,до по лесно отцепване на,водород,,н катион Участва в заместителни,,Бензоена киселина
16904,реакции халогениране нитриране и сулфониране,Карбоксилна група,Карбоксилната група,оказва влияние върху ароматното ядро,,Бензоена киселина
16905,по трудно в сравнение с,бензен,,При декарбоксилиране се получава бензен,,Бензоена киселина
16906,вредните добавки сред разрешените консерванти,Файл:Sublimation of Benzoic acid.jpg,мини|център|Сублимация на бензоена киселина,Категория Бензоени киселини Категория Едноосновни,,Бензоена киселина
16907,Еспера нто е най разпространеният,изкуствен език,изкуствен,международен спомагателен език Първоначалното име,,Есперанто
16908,нто е най разпространеният изкуствен,Международен помощен език,международен спомагателен език,Първоначалното име на езика е,,Есперанто
16909,псевдонимът под който полският филолог,Людвик Заменхоф,,публикува Първа книга Unua Libro,,Есперанто
16910,на новия език издадено през,1887,,година Намерението на Заменхоф е,,Есперанто
16911,се провежда във френския град,Булон сюр Мер,,през 1905 година Той е,,Есперанто
16912,различни части на света В,България,,есперанто се разпространява почти веднага,,Есперанто
16913,а през 1907 година в,Велико Търново,Търново,е основан Българският есперантски съюз,,Есперанто
16914,година в Търново е основан,Български есперантски съюз,Българският есперантски съюз,Негов официален орган е списание,,Есперанто
16915,Негов официален орган е списание,Български есперантист,,което излиза от 1919 година,,Есперанто
16916,година той е препоръчан от,Френска академия на науките,Френската академия на науките,а през 1954 година с,,Есперанто
16917,а през 1954 година с,Резолюция от Монтевидео,Резолюцията от Монтевидео,получава признание от ЮНЕСКО която,,Есперанто
16918,от Монтевидео получава признание от,ЮНЕСКО,,която установява официални отношения със,,Есперанто
16919,която установява официални отношения със,Световна есперантска асоциация,Световната есперантска асоциация,Есперанто има съществено представяне в,,Есперанто
16920,му е най разпространено в,Европа,,Източна Азия и Южна Америка,,Есперанто
16921,е най разпространено в Европа,Източна Азия,,и Южна Америка История Създаване,,Есперанто
16922,в Европа Източна Азия и,Южна Америка,,История Създаване на езика мини,,Есперанто
16923,Америка История Създаване на езика,Файл:Unua libro per russi - 1887 - 1a edizione - copertina fronte.jpg,"мини|Първият учебник по есперанто, публикуван във Варшава през 1887 година.",Езикът есперанто е създаден в,,Есперанто
16924,години на 19 век от,Людвик Заменхоф,,офталмолог и любител филолог от,,Есперанто
16925,офталмолог и любител филолог от,евреи,еврейски,произход жител на град Бялисток,,Есперанто
16926,еврейски произход жител на град,Бялисток,,днес в Полша а по,,Есперанто
16927,преди началото на период на,пост (въздържание),пости,Има няколко такива дни в,,Заговезни
16928,няколко такива дни в годината,Месни заговезни,,и Сирни заговезни преди започване,,Заговезни
16929,в годината Месни заговезни и,Сирни заговезни,,преди започване и в началото,,Заговезни
16930,започване и в началото на,Велик пост,Великите пости,Петрови заговезни преди започване на,,Заговезни
16931,в началото на Великите пости,Петрови заговезни,,преди започване на Петровите пости,,Заговезни
16932,Петрови заговезни преди започване на,Петрови пости,Петровите пости,Богородични заговезни преди започване на,,Заговезни
16933,преди започване на Петровите пости,Богородични заговезни,,преди започване на Богородичните пости,,Заговезни
16934,Богородични заговезни преди започване на,Богородични пости,Богородичните пости,Коледни заговезни преди започване на,,Заговезни
16935,преди започване на Богородичните пости,Коледни заговезни,,преди започване на Коледните пости,,Заговезни
16936,Бред и дьо Монтескьо е,Франция,френски,висш аристократ писател юрист социолог,,Шарл дьо Монтескьо
16937,дьо Монтескьо е френски висш,аристократ,,писател юрист социолог Макар и,,Шарл дьо Монтескьо
16938,Монтескьо е френски висш аристократ,писател,,юрист социолог Макар и успял,,Шарл дьо Монтескьо
16939,е френски висш аристократ писател,юрист,,социолог Макар и успял романист,,Шарл дьо Монтескьо
16940,френски висш аристократ писател юрист,социолог,,Макар и успял романист Монтескьо,,Шарл дьо Монтескьо
16941,юрист социолог Макар и успял,романист,,Монтескьо е известен преди всичко,,Шарл дьо Монтескьо
16942,е известен преди всичко като,историк,,философ и държавен мислител Той,,Шарл дьо Монтескьо
16943,известен преди всичко като историк,философ,,и държавен мислител Той е,,Шарл дьо Монтескьо
16944,един от основоположниците на френското,Просвещение,,характеризиращо се с вярата в,,Шарл дьо Монтескьо
16945,характеризиращо се с вярата в,разум,,доверието в науката и в,,Шарл дьо Монтескьо
16946,вярата в разума доверието в,наука,,а и в рационализма За,,Шарл дьо Монтескьо
16947,доверието в науката и в,Рационализъм,рационализма,За разлика от Томас Хобс,,Шарл дьо Монтескьо
16948,в рационализма За разлика от,Томас Хобс,,и Джон Лок Монтескьо се,,Шарл дьо Монтескьо
16949,разлика от Томас Хобс и,Джон Лок,,Монтескьо се изявява като силен,,Шарл дьо Монтескьо
16950,Монтескьо се изявява като силен,Прагматизъм,прагматик,и англофил Той е основоположник,,Шарл дьо Монтескьо
16951,е основоположник на теорията за,разделение на властите,,залегнала в много конституции по,,Шарл дьо Монтескьо
16952,на властите залегнала в много,конституция,конституции,по света Известен негов принос,,Шарл дьо Монтескьо
16953,е и налагането на понятието,деспотизъм,,в политическия речник Неговият анонимно,,Шарл дьо Монтескьо
16954,речник Неговият анонимно публикуван труд,За духа на законите,,от 1748 г е приет,,Шарл дьо Монтескьо
16955,и оказва голямо влияние върху,Бащи основатели на САЩ,бащите основатели на САЩ,при написването на американската конституция,,Шарл дьо Монтескьо
16956,,"Файл:Paul Cézanne, Les joueurs de carte (1892-95).jpg","мини|300px|„Игра на карти“, [[Пол Сезан]], 1895 година",Играта е физическа или интелектуална,,Игра
16957,година Играта е физическа или,интелект,,ална форма на организирана по,,Игра
16958,форма на организирана по някакви,правило на игра,правила,социална или индивидуална дейност Този,,Игра
16959,вид занимание съществува от дълбока,древност,,и се осъществява с цел,,Игра
16960,цел печелене на пари посредством,залог,залози,или за сплотяване на дадена,,Игра
16961,Често се използват определени предмети,карти,,табла стикове пионки ракети топка,,Игра
16962,се използват определени предмети карти,табла (игра),табла,стикове пионки ракети топка кегли,,Игра
16963,използват определени предмети карти табла,стик,,ве пионки ракети топка кегли,,Игра
16964,определени предмети карти табла стикове,пионка,пионки,ракети топка кегли компютър лист,,Игра
16965,предмети карти табла стикове пионки,ракета (спорт),ракети,топка кегли компютър лист хартия,,Игра
16966,карти табла стикове пионки ракети,топка,,кегли компютър лист хартия и,,Игра
16967,табла стикове пионки ракети топка,кегла,кегли,компютър лист хартия и определени,,Игра
16968,стикове пионки ракети топка кегли,компютър,,лист хартия и определени места,,Игра
16969,ракети топка кегли компютър лист,хартия,,и определени места игрища плувни,,Игра
16970,лист хартия и определени места,стадион,игрища,плувни басейни казина площадки пясъчници,,Игра
16971,хартия и определени места игрища,плувен басейн,плувни басейни,казина площадки пясъчници но за,,Игра
16972,определени места игрища плувни басейни,казино,казина,площадки пясъчници но за някои,,Игра
16973,места игрища плувни басейни казина,площад,,и пясъчници но за някои,,Игра
16974,игрища плувни басейни казина площадки,пясъчник,пясъчници,но за някои видове игри,,Игра
16975,на думи Игри при животните,"Файл:Mixed-breed dog playing fetch, San Jose, California - 20070124.jpg","мини|ляво|Куче от смесена порода с играчка в устата, Сан Хосе, Калифорния",Много животни както питомни така,,Игра
16976,,Файл:4CardPlayers.svg,мини|250п|Разположение на играчите на белот,Бридж белотът bridge belote или,,Бридж-белот
16977,кратко наричан само белот е,игра с карти,игра на карти,традиционно играна от четирима играчи,,Бридж-белот
16978,популярен и широко разпространен в,България,,превърнал се в социално явление,,Бридж-белот
16979,социално явление в живота на,българи,,е От ранна възраст българите,,Бридж-белот
16980,да се играе и като,хазарт,хазартна игра,със залагания както и като,,Бридж-белот
16981,Произход и история Произхожда от,Франция,,където оригинално ѝ име е,,Бридж-белот
16982,донякъде приличат на тези на,бридж,,и френското таро но се,,Бридж-белот
16983,тези на бриджа и френското,таро,,но се научават доста по,,Бридж-белот
16984,двойки с тесте от 32,карти за игра,карти,7 8 9 10 J,,Бридж-белот
16985,7 8 9 10 J,вале (карта),вале,Q дама K поп A,,Бридж-белот
16986,9 10 J вале Q,дама (карта),дама,K поп A асо от,,Бридж-белот
16987,J вале Q дама K,поп (карта),поп,A асо от четирите бои,,Бридж-белот
16988,Q дама K поп A,асо,,от четирите бои спатия трефа,,Бридж-белот
16989,A асо от четирите бои,Спатия,спатия/трефа,каро купа пика Играта има,,Бридж-белот
16990,от четирите бои спатия трефа,каро,,купа пика Играта има и,,Бридж-белот
16991,четирите бои спатия трефа каро,купа,,пика Играта има и разновидности,,Бридж-белот
16992,бои спатия трефа каро купа,пика,,Играта има и разновидности за,,Бридж-белот
16993,турски boya цвят а именно,спатия,,каро купа или пика определена,,Бридж-белот
16994,boya цвят а именно спатия,каро,,купа или пика определена при,,Бридж-белот
16995,цвят а именно спатия каро,купа,,или пика определена при обявата,,Бридж-белот
16996,се изпълняват на фона на,музика,,Наричат се аеробни защото са,,Аеробика
16997,кръвообращение при което в тялото,Окисляване на мазнини,мазнините се окисляват,т е изгарят Тя тренира,,Аеробика
16998,в аеробната кардио тренировка в,САЩ,,Заглавието на публикуваната от него,,Аеробика
16999,и ниско интензивно натоварване на,мускул,,те оформя и тонизира тялото,,Аеробика
17000,цялото тяло Аеробиката е вид,кардио-тренировка,,но не е единствената Първоначалната,,Аеробика
17001,Има добро влияние върху мускулите,става,ставите,сърдечно съдовата система белите дробове,,Аеробика
17002,добро влияние върху мускулите ставите,сърдечно-съдова система,сърдечно-съдовата система,белите дробове кръвообращението психиката удоволствие,,Аеробика
17003,мускулите ставите сърдечно съдовата система,бял дроб,белите дробове,кръвообращението психиката удоволствие и изразяване,,Аеробика
17004,сърдечно съдовата система белите дробове,кръвообращение,,о психиката удоволствие и изразяване,,Аеробика
17005,съдовата система белите дробове кръвообращението,психика,,а удоволствие и изразяване чрез,,Аеробика
17006,фитнес тренировката да се изгарят,калория,калории,да оформи и стегне тялото,,Аеробика
17007,стегне тялото да укрепи физическото,здраве,,и да го поддържа мини,,Аеробика
17008,здраве и да го поддържа,Файл:Aerobic exercise - public demonstration01.jpg,мини,Има различни видове аеробика кръгова,,Аеробика
17009,мини Има различни видове аеробика,кръгова аеробика,,интервална аеробика бокс аеробика тае,,Аеробика
17010,различни видове аеробика кръгова аеробика,интервална аеробика,,бокс аеробика тае бо степ,,Аеробика
17011,аеробика кръгова аеробика интервална аеробика,бокс аеробика / тае бо,,степ аеробика водна аеробика слайд,,Аеробика
17012,аеробика бокс аеробика тае бо,степ аеробика,,водна аеробика слайд аеробика Състои,,Аеробика
17013,аеробика тае бо степ аеробика,водна аеробика,,слайд аеробика Състои се от,,Аеробика
17014,бо степ аеробика водна аеробика,слайд аеробика,,Състои се от загрявка кардио,,Аеробика
17015,Хърватският език е официален,Език (езикознание),език,в Република Хърватия един от,,Хърватски език
17016,е официален език в Република,Хърватия,,един от трите официални езика,,Хърватски език
17017,от трите официални езика в,Босна и Херцеговина,,и един от седемте официални,,Хърватски език
17018,официални езика в Автономна област,Войводина,,Република Сърбия На него говорят,,Хърватски език
17019,в Автономна област Войводина Република,Сърбия,,На него говорят около 4,,Хърватски език
17020,местоимение što kaj и ča,щокавски диалект,щокавски,кайкавски и чакавски Хърватският стандартен,,Хърватски език
17021,što kaj и ča щокавски,кайкавски диалект,кайкавски,и чакавски Хърватският стандартен език,,Хърватски език
17022,и ča щокавски кайкавски и,чакавски диалект,чакавски,Хърватският стандартен език е базиран,,Хърватски език
17023,стандартен език е базиран на,новощокавски диалект,новощокавския,йекавски изговор от западен тип,,Хърватски език
17024,език е базиран на новощокавския,йекавски изговор,,от западен тип с влияние,,Хърватски език
17025,от по широката общност на,славянски езици,славянските езици,част от индоевропейското езиково семейство,,Хърватски език
17026,на славянските езици част от,индоевропейско езиково семейство,индоевропейското езиково семейство,След разпадане на индоевропейската езикова,,Хърватски език
17027,се създава според повечето учени,балтославянска езикова общност,балтославянската езикова общност,По време на нейното съществуване,,Хърватски език
17028,и днешните славянски езици западнославянски,полски език,полски,кашубски долнолужишки горнолужишки чешки словашки,,Хърватски език
17029,днешните славянски езици западнославянски полски,кашубски език,кашубски,долнолужишки горнолужишки чешки словашки източнославянски,,Хърватски език
17030,славянски езици западнославянски полски кашубски,долнолужишки език,долнолужишки,горнолужишки чешки словашки източнославянски руски,,Хърватски език
17031,езици западнославянски полски кашубски долнолужишки,горнолужишки език,горнолужишки,чешки словашки източнославянски руски беларуски,,Хърватски език
17032,западнославянски полски кашубски долнолужишки горнолужишки,чешки език,чешки,словашки източнославянски руски беларуски украински,,Хърватски език
17033,полски кашубски долнолужишки горнолужишки чешки,словашки език,словашки,източнославянски руски беларуски украински русински,,Хърватски език
17034,долнолужишки горнолужишки чешки словашки източнославянски,руски език,руски,беларуски украински русински и южнославянски,,Хърватски език
17035,Това е списък на,Село,селата,в България подредени по азбучен,,Списък на селата в България
17036,е списък на селата в,България,,подредени по азбучен ред Всеки,,Списък на селата в България
17037,списък съдържа около 1000 села,Списък на селата в България/Абланица - Голямо Асеново,Абланица – Голямо Асеново,Голямо Белово Калайджии Калейца Неделкова,,Списък на селата в България
17038,1000 села Абланица Голямо Асеново,Списък на селата в България/Голямо Белово - Калайджии,Голямо Белово – Калайджии,Калейца Неделкова гращица Неделково Скорците,,Списък на селата в България
17039,Голямо Асеново Голямо Белово Калайджии,Списък на селата в България/Калейца - Неделкова гращица,Калейца – Неделкова гращица,Неделково Скорците Скравена Яхиново Вижте,,Списък на селата в България
